,Hot Spot,#1,#2,#3,#5,#10,#20,#30
12,java.nio.ByteBuffer.hasRemaining,0.00252150192082656,0.004192749174882864,0.0050690252758653215,0.005296263431680287,0.0053667362135562105,0.005569269034218182,0.005630554972967499
13,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeInt,0.0024310895467095973,0.0041063003356860105,0.005046681714252213,0.00509343102183999,0.0052570595169425,0.005545806124811184,0.005405271338642657
14,org.apache.ignite.internal.util.GridUnsafe.putByte,0.0023059101881361746,0.0038157835507476295,0.004882844860327648,0.00497635743437293,0.005151198609972408,0.0053203856384907615,0.005363468933005927
15,org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compareKeys,0.0022673485098949012,0.0038086825355719204,0.00479207663053037,0.004974692453410634,0.0050845942114018244,0.005313609003276568,0.0052191396110038216
16,org.apache.ignite.internal.direct.DirectMessageReader.incrementState,0.002164136633641763,0.003715965797553611,0.004659903112581599,0.004889589781170322,0.0049745317426483195,0.005249979600856705,0.005077320364166971
17,org.apache.ignite.internal.util.OffheapReadWriteLock.updateState,0.0021311493605703806,0.003622728361813893,0.00450554534540199,0.004551754481480802,0.0047729574132548995,0.004929937208026984,0.0050248281978614315
18,sun.misc.Unsafe.getByte,0.0020614901667625617,0.003510791369154091,0.004485145394852553,0.004548842815265949,0.004581731840829007,0.004834233463201244,0.004969044849083969
19,java.nio.channels.Selector.wakeup,0.002014310738935977,0.003408116287213843,0.004313844755818725,0.004448246798011957,0.004465975039838102,0.004747270971972356,0.004916938848188468
20,org.apache.ignite.internal.processors.cache.tree.CacheDataTree.compare,0.001981171678113202,0.0031492904673446898,0.0038764844727779747,0.003997684905486003,0.0039674400263116725,0.0041855199351298585,0.004220603625508686
21,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.lastFinished,0.001860295502291758,0.002900800497245496,0.003623217613067184,0.0037417781517687723,0.0039156039916145215,0.004040648802498455,0.004113548042061944
22,org.apache.ignite.internal.util.nio.GridNioServer$DirectNioClientWorker.processWrite0,0.0018062476787146613,0.0028542956820021954,0.003551686353428785,0.0036647379242867708,0.0038523373606882457,0.003970623571951786,0.004062451337124501
23,java.nio.ByteBuffer.remaining,0.0017708697485588464,0.0028503513967625253,0.0035249139075886225,0.0036610060704057625,0.003727531687113904,0.003846653555594044,0.003937509274003675
24,org.apache.ignite.internal.direct.DirectMessageWriter.incrementState,0.001716431071521914,0.0028084677737967253,0.0034936966462831786,0.0036041096520045435,0.003721090969649511,0.003839504767998994,0.003712471381303403
25,java.lang.ThreadLocal.get,0.0016710996595685338,0.0027595807664779807,0.003442493646622195,0.0035544308850654948,0.0035423023555565536,0.0037473927263838415,0.0036173430431349135
26,org.apache.ignite.internal.processors.cache.distributed.near.GridNearSingleGetRequest.readFrom,0.0016602885769756005,0.002752317033264331,0.0033188592723629976,0.00331193419968991,0.0033908364725820754,0.003507977579601923,0.0035959459688241118
27,org.apache.ignite.internal.util.GridUnsafe.getShort,0.0016303560324009928,0.0024271803585737997,0.0030739642783403982,0.003194655565306311,0.003307887076175422,0.0035024126033021442,0.003478305942547662
28,org.apache.ignite.internal.pagemem.PageUtils.getShort,0.0016192489636928443,0.002411845810678318,0.0029955985175026956,0.003164890954901522,0.003302394016358785,0.003412957556592174,0.0034626223610081204
29,org.apache.ignite.internal.util.worker.GridWorker.updateHeartbeat,0.001531018538502149,0.002382751825494615,0.002896585871923041,0.0030462426071154428,0.003219193029426179,0.003308616414647959,0.0033852400787282443
30,org.apache.ignite.spi.discovery.tcp.ServerImpl$MessageWorker.body,0.0014698936110163756,0.0023431787986675657,0.00284386940463051,0.002998138600495413,0.0031419044198534645,0.003235622619760973,0.003309033845651669
31,org.apache.ignite.internal.util.OffheapReadWriteLock.readLock,0.0014265620026875918,0.0023287294368984786,0.002826822979727818,0.0029292428365383367,0.0030419223448398037,0.003163442367287951,0.0032282462865741756
32,org.apache.ignite.internal.util.IgniteUtils.currentTimeMillis,0.001422289177485892,0.00228420327299653,0.0027594816357430713,0.002899978540609903,0.0030301395218743452,0.0031379888753786996,0.003217038713196451
33,org.apache.ignite.internal.processors.cache.CacheGroupContext.sharedGroup,0.001417310539240217,0.0022447474031567975,0.002755570516758388,0.0028934170392806574,0.0029782867144754637,0.003079353238627534,0.003129203635385744
34,org.apache.ignite.internal.managers.communication.GridIoMessage.readFrom,0.0014008643363768358,0.0021990952304323033,0.0027249188144099963,0.002830336405876625,0.0029683405023494614,0.003058884857680448,0.003115494763329357
35,org.apache.ignite.internal.processors.cache.persistence.diagnostic.pagelocktracker.log.LockLog.log,0.001383454281292112,0.0021982686227995673,0.002696800178939668,0.002792017238113832,0.002922148481784519,0.003012616796562849,0.0030014706495287277
36,org.apache.ignite.internal.util.GridUnsafe.getInt,0.001322955478280833,0.002183936418017797,0.002671644753779527,0.002650338020662102,0.0027724185734391152,0.002879697813651498,0.0028960474925880594
37,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readMessage,0.0012907992431483246,0.002126920017523561,0.0025646983515629183,0.002590989241139078,0.0026693503213070994,0.002760920621212679,0.0027945737546137004
38,org.apache.ignite.internal.pagemem.PageUtils.getInt,0.0012890574787010954,0.002042957509946433,0.002541829059088325,0.002543853055965112,0.0026028381725960318,0.0027116839957547624,0.0027495064959648214
39,org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter.processNearSingleGetRequest,0.0012730932019483856,0.0020039832854990033,0.0024356234594492634,0.002543606999665265,0.0026027039909821905,0.0026966421158029505,0.0027096700233246542
40,org.apache.ignite.internal.processors.cache.tree.AbstractDataLeafIO.getHash,0.0012688089926653312,0.0019951379329565754,0.002420130330273686,0.00251017615039276,0.0025901244646845483,0.0026901683953173606,0.0026869476995384912
41,org.apache.ignite.internal.util.OffheapReadWriteLock.readUnlock,0.0012601912430800202,0.0019766987248971955,0.002417095429391478,0.0025087490238536493,0.0025633636190740302,0.0026773161561180277,0.0026731422861295943
42,org.apache.ignite.internal.managers.communication.GridIoMessage.writeTo,0.0012380188472953556,0.0019654386366717356,0.002414657949942775,0.0024886872335394814,0.0025186475962613447,0.0026442205583414287,0.002614769873807551
43,org.apache.ignite.internal.util.nio.GridNioServer$AbstractNioClientWorker.processSelectedKeysOptimized,0.0012017871110379579,0.001954093935066547,0.0023848187407439505,0.002458414106781676,0.0024736464375192456,0.0025508708936922662,0.0026052210563956755
44,org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtCacheAdapter$5.apply,0.0011882742064702374,0.0019471100768781548,0.0023624512822735025,0.002393250196705608,0.0024612346382389054,0.0025497284724301035,0.0025730815624965143
45,org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.add0,0.0011790644846544954,0.0018931723016617468,0.002312698025291159,0.0023477543868639533,0.0024157219120940353,0.002532410404660497,0.0025366328136807803
46,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeLong,0.001161183887540455,0.001887080138321267,0.0023070742981970934,0.002343243354700097,0.002415512253322408,0.002495030727150787,0.0025066611119697927
47,org.apache.ignite.spi.communication.tcp.TcpCommunicationSpi.sendMessage0,0.001141402148840223,0.0018799075272088641,0.0022469338738908672,0.00230932859470456,0.0024095327851555953,0.002491759248081866,0.0024236092193516156
48,org.apache.ignite.internal.processors.cache.distributed.dht.GridDhtGetSingleFuture.toEntryInfo,0.0011386130489083853,0.0018542371295434228,0.0022469338738908672,0.0023011431217963263,0.0022991264760166214,0.002385739093070533,0.0024206427668835885
49,java.lang.Object.getClass,0.0011317750107081516,0.001853670870771391,0.0022403622381223062,0.002277620139530982,0.0022990258398062403,0.002363323403153851,0.0024076623432143203
50,org.apache.ignite.internal.pagemem.impl.PageMemoryNoStoreImpl.acquirePage,0.001117658749828646,0.0018426320790775298,0.002199697752548361,0.0022419501779298717,0.0022425186076772312,0.0023557418802322245,0.002372143901977317
51,sun.misc.Unsafe.putByte,0.0011155451053905048,0.0018075956311482523,0.0021749485739630038,0.0021194059387295537,0.0022359101631955363,0.002309655567951788,0.002357074674499201
52,java.util.concurrent.locks.LockSupport.unpark,0.0011056637227748508,0.0017894948766077876,0.0021440817998985497,0.0021179131971771504,0.0022268948360155594,0.0023075870930907507,0.002325189698711202
53,org.apache.ignite.internal.processors.tracing.MTC.span,0.0011042027656676977,0.0017851991204061671,0.0020470844559545873,0.0020949889519080995,0.002223230000687513,0.002280809431082174,0.0023173874021310942
54,org.apache.ignite.internal.direct.DirectMessageReader.setBuffer,0.0011011328583957838,0.0017838843586596106,0.0020325870291681854,0.00209330756719248,0.0022023144416299665,0.0022705622585488337,0.0023039154952126857
55,org.apache.ignite.internal.direct.DirectMessageReader.isLastRead,0.0010430171230813672,0.001783298573723026,0.0020304522432457923,0.0020902318634443964,0.002199446309634104,0.0022648934257706766,0.0022981317905486913
56,org.apache.ignite.internal.processors.cache.persistence.tree.io.BPlusLeafIO.offset,0.0010339060633040304,0.0017524472337295696,0.002028922844376018,0.0020896167226947798,0.0021895755746658874,0.0022445289013019692,0.0022782881543646377
57,org.apache.ignite.internal.util.GridUnsafe.getLong,0.0010281874597703167,0.00173952742151712,0.0020159707476976175,0.002079011696171387,0.0021617664351972327,0.0022387994855780913,0.002221969439905075
58,org.apache.ignite.internal.pagemem.PageUtils.getLong,0.000994756207526111,0.0016492319279033604,0.001999537675466658,0.0020701946787602134,0.0021531788119113758,0.0022219574266677195,0.002221056685299528
59,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.readShort,0.0009889009950161442,0.0016405427846773553,0.0019994978473710906,0.002044522804809541,0.00215134220107192,0.002208456084478521,0.0022081376970364023
60,org.apache.ignite.spi.communication.tcp.internal.InboundConnectionHandler.onMessage,0.000987519726478472,0.0016362014674251115,0.0019650465447056033,0.0020296856099287853,0.0021394839009486757,0.0021661345695393034,0.002204091736717584
61,org.apache.ignite.internal.processors.metric.impl.LongAdderMetric.increment,0.0009789285397496545,0.0016239650709720106,0.001964353535842737,0.0020291442860691225,0.002125084536513308,0.0021591761854879475,0.0021932527757767143
62,org.apache.ignite.internal.util.nio.GridNioFilterAdapter.proceedSessionWrite,0.0009758168908461076,0.0016136162037590157,0.001963437489644695,0.0020237802587324645,0.0021102993999381455,0.002134190047731399,0.002129438941767757
63,org.apache.ignite.internal.direct.stream.v2.DirectByteBufferStreamImplV2.writeShort,0.0009743521390451696,0.0015981514814331819,0.0019269071603906084,0.001995943089343141,0.002087253707760865,0.002119200096018776,0.002122602058712747
